/Users/omrimaoz/pythonProject/University/ML_Workshop/venv/bin/python /Users/omrimaoz/pythonProject/University/ML_Workshop/Main.py
device: cpu
/Users/omrimaoz/pythonProject/University/ML_Workshop/Models.py:150: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv1.weight, gain=nn.init.calculate_gain('relu'))
/Users/omrimaoz/pythonProject/University/ML_Workshop/venv/lib/python3.7/site-packages/torch/nn/modules/loss.py:530: UserWarning: Using a target size (torch.Size([50])) that is different to the input size (torch.Size([50, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
/Users/omrimaoz/pythonProject/University/ML_Workshop/venv/lib/python3.7/site-packages/torch/nn/modules/loss.py:530: UserWarning: Using a target size (torch.Size([40])) that is different to the input size (torch.Size([40, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
epoch: 0, train_loss: 218.953, val_loss: 9.056, val_acc: 0.104, MAE: 2.527, MSE: 9.057, time: 12s, lr: 0.001
epoch: 36, train_loss: 6.218, val_loss: 7.161, val_acc: 0.102, MAE: 2.318, MSE: 7.161, time: 10s, lr: 0.001
epoch: 37, train_loss: 6.216, val_loss: 7.148, val_acc: 0.102, MAE: 2.316, MSE: 7.149, time: 9s, lr: 0.001
epoch: 38, train_loss: 6.215, val_loss: 7.135, val_acc: 0.102, MAE: 2.314, MSE: 7.136, time: 9s, lr: 0.001
epoch: 39, train_loss: 6.211, val_loss: 7.123, val_acc: 0.102, MAE: 2.312, MSE: 7.124, time: 10s, lr: 0.001
epoch: 40, train_loss: 6.21, val_loss: 7.111, val_acc: 0.103, MAE: 2.31, MSE: 7.112, time: 9s, lr: 0.001
epoch: 41, train_loss: 6.206, val_loss: 7.1, val_acc: 0.103, MAE: 2.308, MSE: 7.101, time: 9s, lr: 0.001
epoch: 42, train_loss: 6.202, val_loss: 7.089, val_acc: 0.103, MAE: 2.306, MSE: 7.09, time: 10s, lr: 0.001
epoch: 43, train_loss: 6.203, val_loss: 7.078, val_acc: 0.103, MAE: 2.305, MSE: 7.079, time: 11s, lr: 0.001
epoch: 44, train_loss: 6.201, val_loss: 7.067, val_acc: 0.103, MAE: 2.303, MSE: 7.068, time: 10s, lr: 0.001
epoch: 45, train_loss: 6.197, val_loss: 7.057, val_acc: 0.104, MAE: 2.301, MSE: 7.058, time: 10s, lr: 0.001
epoch: 46, train_loss: 6.198, val_loss: 7.046, val_acc: 0.103, MAE: 2.299, MSE: 7.047, time: 9s, lr: 0.001
epoch: 47, train_loss: 6.195, val_loss: 7.036, val_acc: 0.103, MAE: 2.298, MSE: 7.036, time: 9s, lr: 0.001
epoch: 48, train_loss: 6.193, val_loss: 7.026, val_acc: 0.103, MAE: 2.296, MSE: 7.026, time: 10s, lr: 0.001
epoch: 49, train_loss: 6.193, val_loss: 7.016, val_acc: 0.104, MAE: 2.295, MSE: 7.016, time: 9s, lr: 0.001
epoch: 50, train_loss: 6.19, val_loss: 7.006, val_acc: 0.104, MAE: 2.293, MSE: 7.006, time: 9s, lr: 0.001
epoch: 51, train_loss: 6.189, val_loss: 6.996, val_acc: 0.104, MAE: 2.291, MSE: 6.997, time: 10s, lr: 0.001
epoch: 52, train_loss: 6.188, val_loss: 6.987, val_acc: 0.104, MAE: 2.29, MSE: 6.987, time: 11s, lr: 0.001
epoch: 53, train_loss: 6.187, val_loss: 6.978, val_acc: 0.104, MAE: 2.289, MSE: 6.978, time: 9s, lr: 0.001
epoch: 54, train_loss: 6.185, val_loss: 6.969, val_acc: 0.104, MAE: 2.287, MSE: 6.969, time: 10s, lr: 0.001
